id,text,author
id06121,So I did not abandon the search until I had become fully satisfied that the thief is a more astute man than myself.,EAP
id01074,He had promised to spend some hours with me one afternoon but a violent and continual rain prevented him.,MWS
id12145,"In the end he give him a funny kind o' thingumajig made aout o' lead or something, that he said ud bring up the fish things from any place in the water whar they might be a nest of 'em.",HPL
id18286,"What other construction could I possibly put upon such conduct, on the part of a lady so beautiful so wealthy evidently so accomplished of so high breeding of so lofty a position in society in every regard so entirely respectable as I felt assured was Madame Lalande?",EAP
id11118,"I had heard the noise, however faint, and my soul was awakened within me.",EAP
id24535,"My host was now leading the way down cellar to his actual studio, and I braced myself for some hellish effects among the unfinished canvases.",HPL
id01324,"Trade was stopped by the failure of the interchange of cargoes usual between us, and America, India, Egypt and Greece.",MWS
id08514,To the uttermost regions of the globe have not the indignant winds bruited its unparalleled infamy?,EAP
id08393,"It is needless to say that I became excessively alarmed, having, in the first instance, attributed the noise to the bursting of the balloon.",EAP
id02511,With one savage kick he sent the morbidity over the edge of the gulf and heard it whimper on some level far below.,HPL
id02374,They must be up to something.,HPL
id20795,"The reader will remember that this mark, although large, had been originally very indefinite; but, by slow degrees degrees nearly imperceptible, and which for a long time my Reason struggled to reject as fanciful it had, at length, assumed a rigorous distinctness of outline.",EAP
id00633,"In the heart of one like me there are secret thoughts working, and secret tortures which you ought not to seek to discover.",MWS
id26587,She amused us all very much.,EAP
id05038,"Anguish deprived her of presence of mind; she gave up to me and Clara the physician's and nurse's parts; she sat by the bed, holding one little burning hand, and, with glazed eyes fixed on her babe, passed the long day in one unvaried agony.",MWS
id06542,"Soon some people, deputed by the magistrates, came to remove the body; the unfortunate being saw a jailor in each he fled precipitately, while I passed onwards to the Castle.",MWS
id20558,"He began to feel closely akin to Sir Wade, and to seek relics of the latter's personal life in England as well as of his African exploits.",HPL
id09095,I hadn't been able to give him much of my opinions I was too speechless with fright and loathing but I think he fully understood and felt highly complimented.,HPL
id20208,"He remembered that he had promised Perdita to be present this very evening the th of October, anniversary of his election as Protector at a festival given in his honour.",MWS
id01232,"Lesser peaks they once inhabited; but ever the men from the plains would scale the slopes of rock and snow, driving the gods to higher and higher mountains till now only the last remains.",HPL
id04278,Am I not the most miserable worm that crawls?,MWS
id05363,His servants are by no means numerous.,EAP
id14062,"The moon's light flickers, as earth's gods dance against it; I shall see the dancing forms of the gods that leap and howl in the moonlight. . . .",HPL
id05121,"Alas I knew not the desart it was about to reach; the rocks that would tear its waters, and the hideous scene that would be reflected in a more distorted manner in its waves.",MWS
id22099,Mr. Kirwin came in and insisted that my strength should not be exhausted by too much exertion.,MWS
id26108,"I awoke exhausted, and finding that it was already night, I crept forth from my hiding place, and went in search of food.",MWS
id12360,"When decomposition had proceeded to a very great extent when the flesh had in a great measure left the bones then, indeed, but not till then, should we lose sight of the corpse.",EAP
id09179,"Impossible A mason?"" ""A mason,"" I replied.",EAP
id20384,"It was about two feet square, and bore West's correct name and present address.",HPL
id06589,"Readiness of talent, a capacity of entering into, and leading the dispositions of men; earnest desire of distinction were the awakeners and nurses of his ambition.",MWS
id25090,"I cannot better explain my meaning than by the hypothesis that the mesmeric exaltation enables me to perceive a train of ratiocination which, in my abnormal existence, convinces, but which, in full accordance with the mesmeric phenomena, does not extend, except through its effect, into my normal condition.",EAP
